files_changed,lines_added,lines_deleted,test_coverage,developer_experience,previous_incidents_30d,rollback_rate_90d,deployment_frequency_7d,database_changes,services_touched,hour_of_day,incident_occurred
9,153,30,84.74,6,0,0.1025,2,1,2,11,0
8,129,129,89.51,5,1,0.0752,5,0,2,2,0
4,71,45,63.95,4,1,0.1167,2,0,4,14,0
12,122,75,65.38,4,0,0.2053,1,0,3,15,0
7,113,125,77.93,9,0,0.1253,2,0,4,8,0
14,189,193,70.7,6,2,0.0503,2,1,2,6,1
9,176,124,82.89,9,0,0.0839,3,0,1,6,0
18,299,135,84.54,9,0,0.0532,5,1,1,1,0
6,148,29,78.81,8,2,0.1692,3,1,1,18,0
18,350,145,77.92,1,1,0.0208,3,0,4,3,0
8,140,32,98.76,1,0,0.0692,5,1,3,2,0
15,162,216,82.96,10,1,0.1124,5,0,2,16,0
4,119,29,78.0,10,2,0.1382,4,0,3,18,0
5,113,70,73.5,4,0,0.1479,4,0,3,21,0
6,82,67,90.29,3,1,0.1629,2,1,4,22,0
6,89,38,76.47,5,3,0.0816,4,0,4,2,0
3,90,44,76.87,10,2,0.1594,3,0,2,13,0
9,120,47,70.75,5,2,0.2102,5,0,1,1,0
9,138,128,86.42,10,0,0.1647,7,0,4,3,0
24,367,216,76.89,5,3,0.1575,6,0,4,14,1
2,17,18,97.3,6,0,0.1282,2,0,1,2,0
14,338,222,58.79,10,2,0.1149,9,0,3,18,1
6,156,60,66.97,8,0,0.0797,1,0,2,18,0
14,385,245,80.43,8,1,0.0592,4,0,3,10,0
4,114,31,80.35,8,2,0.1306,3,0,4,17,0
9,91,61,80.56,2,0,0.1956,1,0,4,16,0
21,168,336,55.41,8,1,0.052,4,0,2,16,1
10,261,123,79.45,1,2,0.08,9,1,2,9,0
15,371,72,94.72,10,0,0.0483,2,0,2,9,0
8,170,35,80.7,2,0,0.025,5,0,1,20,0
6,119,82,78.25,9,3,0.1064,5,0,4,15,0
12,166,135,78.9,7,0,0.0049,9,1,2,2,0
3,80,27,73.84,9,1,0.139,1,0,1,9,0
19,533,222,60.3,8,1,0.1487,3,0,4,17,1
6,95,86,95.46,7,0,0.0939,1,0,3,6,0
3,41,26,89.43,7,0,0.022,3,1,4,22,0
2,34,35,87.52,3,2,0.1415,6,0,1,4,0
26,576,417,92.14,8,0,0.0729,5,1,4,0,0
10,178,128,58.3,3,0,0.1033,2,1,3,10,0
9,157,37,74.45,6,0,0.0114,2,0,4,10,0
20,585,206,73.16,9,0,0.0373,15,1,1,7,0
11,331,197,83.85,2,1,0.0791,3,0,1,20,0
49,510,269,81.04,5,1,0.1034,9,0,1,10,1
5,75,43,99.0,3,0,0.1025,4,0,4,18,0
3,36,16,91.29,10,1,0.0456,3,0,2,15,0
17,194,168,83.2,5,3,0.1346,5,0,1,14,1
2,48,10,81.42,8,2,0.1493,4,0,3,20,0
9,221,88,69.23,5,1,0.0564,6,1,4,15,0
7,120,58,88.82,5,2,0.0668,4,0,3,0,0
3,71,21,94.78,10,1,0.1236,1,0,1,19,0
5,139,82,92.44,4,3,0.1871,3,0,3,7,0
19,435,250,75.17,3,1,0.1464,4,0,1,9,0
2,17,16,64.41,3,1,0.0915,2,1,3,10,0
4,48,19,71.49,9,0,0.0784,4,0,3,16,0
24,348,131,72.02,8,0,0.0725,2,0,3,23,0
41,1119,411,75.36,2,0,0.0875,4,1,2,21,1
9,283,157,99.0,9,0,0.0567,2,0,4,0,0
12,131,102,75.77,5,1,0.0882,1,0,3,3,0
14,270,172,92.49,9,0,0.0551,5,0,2,20,0
9,249,149,66.84,5,2,0.1137,5,0,1,4,1
11,97,197,92.84,2,1,0.0263,1,1,2,12,0
15,361,212,72.49,9,1,0.1363,2,0,2,13,0
1,28,12,73.3,5,2,0.1607,10,1,3,6,0
12,369,189,78.41,2,4,0.2026,5,0,3,17,1
16,375,62,97.32,5,1,0.0883,2,1,1,14,0
5,65,62,86.95,1,3,0.1918,1,1,3,7,1
8,215,48,82.9,9,0,0.109,12,1,2,7,0
6,69,99,84.19,1,3,0.1824,4,0,2,4,0
5,135,23,83.94,1,0,0.0637,4,1,3,7,0
2,16,13,91.65,3,1,0.1215,2,0,1,23,0
7,131,59,61.65,10,2,0.0648,1,1,2,19,1
11,294,176,76.98,9,1,0.116,2,0,1,1,0
3,85,28,90.72,2,1,0.1343,3,0,4,2,0
29,456,151,71.3,3,1,0.1029,4,0,3,12,1
6,124,58,85.52,10,0,0.0833,3,0,1,20,0
15,396,207,78.57,4,2,0.1454,4,0,2,13,0
12,226,110,86.48,2,2,0.1862,4,0,3,21,0
3,92,39,81.5,8,0,0.0496,9,1,1,2,0
7,181,60,67.69,3,0,0.0084,5,0,3,21,0
5,82,64,91.96,7,1,0.0972,2,0,1,9,0
46,756,536,77.04,4,0,0.1154,4,1,4,7,1
4,65,45,81.52,2,0,0.1881,3,0,2,13,0
11,345,168,99.0,10,0,0.0894,1,0,1,19,0
6,167,42,75.18,3,0,0.0719,2,0,3,10,0
9,111,46,71.37,7,2,0.193,6,1,1,2,1
8,105,74,75.53,6,4,0.1852,6,1,3,23,1
7,214,83,95.17,1,2,0.1007,2,1,1,21,0
6,111,56,86.24,10,2,0.1578,6,0,3,6,0
65,697,614,81.03,5,1,0.0542,5,0,4,16,1
5,45,44,84.12,10,0,0.0684,1,1,2,9,0
10,264,144,88.47,5,2,0.0597,11,0,1,15,0
7,85,60,99.0,4,3,0.191,4,0,3,2,0
11,283,104,69.46,8,2,0.1522,4,0,3,18,1
5,88,63,75.28,5,1,0.1039,6,1,1,10,0
11,338,108,78.29,6,1,0.1567,1,1,1,7,0
6,105,25,70.8,5,1,0.0467,6,0,2,10,0
5,49,62,85.47,9,2,0.0357,4,0,3,11,0
6,165,91,94.34,4,0,0.1475,5,1,3,6,0
6,70,86,78.51,2,0,0.1181,7,1,4,14,0
19,498,184,81.1,10,3,0.1403,2,0,3,20,1
8,148,80,75.12,5,1,0.0991,2,0,1,11,0
7,108,68,86.48,1,1,0.1113,4,0,3,2,0
7,220,30,92.86,10,1,0.0658,4,0,4,18,0
4,108,65,88.44,8,2,0.1019,10,0,2,10,0
7,140,121,84.17,8,4,0.2233,4,1,3,22,1
5,117,17,82.67,8,3,0.106,8,0,2,11,0
4,59,36,84.97,6,2,0.1271,4,0,1,20,0
10,95,44,86.22,7,3,0.2085,1,0,2,10,0
12,287,201,89.01,5,2,0.1354,2,0,4,4,0
3,91,22,65.56,7,1,0.0351,3,0,3,4,0
3,83,42,75.99,9,0,0.1539,6,1,4,16,0
5,83,28,99.0,4,2,0.1096,3,0,4,6,0
3,33,12,66.67,2,1,0.2098,5,0,1,21,0
13,343,64,87.75,7,2,0.1642,4,1,2,22,1
8,219,43,81.37,8,0,0.0715,4,1,3,21,0
7,218,85,72.5,8,0,0.0355,1,0,2,9,0
9,241,149,95.92,4,1,0.0605,6,0,4,14,0
4,106,42,79.75,7,0,0.0364,4,0,2,19,0
29,406,365,84.22,6,0,0.0083,4,0,1,22,0
8,227,58,87.52,3,2,0.1512,3,0,2,13,0
18,537,274,85.84,6,1,0.1275,1,0,4,1,0
18,305,158,78.99,2,2,0.0977,6,0,1,10,0
6,168,76,94.48,3,1,0.0674,11,1,3,15,0
3,33,40,85.1,8,2,0.1851,8,0,1,0,0
2,56,22,84.68,10,1,0.1191,3,0,1,9,0
10,109,65,74.28,10,1,0.1489,6,0,1,15,0
10,83,107,76.66,4,1,0.0555,2,0,3,13,1
5,82,57,80.02,3,1,0.077,5,0,1,16,0
16,153,174,83.09,9,2,0.1852,1,0,1,12,0
26,235,228,86.19,6,1,0.1301,3,0,1,11,0
11,179,153,72.79,2,0,0.0388,3,0,3,4,0
24,506,364,78.93,3,1,0.081,1,0,4,22,0
8,98,40,89.8,8,2,0.1386,3,1,2,1,0
8,234,61,80.48,5,2,0.0818,2,0,4,8,0
4,94,29,79.61,1,2,0.0803,1,0,3,8,0
10,168,163,99.0,8,4,0.1603,6,0,4,10,0
12,238,125,88.0,9,1,0.0515,3,0,1,23,0
3,55,53,95.13,3,3,0.2659,3,0,3,3,0
5,119,37,87.3,10,1,0.0883,2,0,2,22,0
11,206,152,82.54,6,1,0.0,4,0,4,8,0
9,242,34,74.07,7,0,0.1489,7,0,2,0,0
7,158,103,96.91,1,0,0.0546,2,1,2,20,0
6,103,69,74.93,10,0,0.0625,4,1,4,11,0
9,236,104,82.03,9,2,0.1525,12,0,3,20,0
3,93,10,79.91,3,2,0.0773,1,0,4,17,0
11,292,149,89.59,4,1,0.0791,1,0,3,22,0
5,98,24,85.92,2,1,0.1043,5,0,4,2,0
8,249,142,72.27,6,2,0.0763,3,0,3,9,0
18,451,304,73.37,3,1,0.0656,1,0,2,3,0
9,243,58,84.07,8,2,0.1027,10,1,3,14,0
13,276,158,77.12,2,0,0.076,6,1,4,22,0
21,432,305,94.14,10,3,0.1014,3,1,3,20,1
8,153,86,99.0,3,1,0.1157,2,0,2,4,0
4,119,15,94.99,2,0,0.134,2,0,3,5,0
3,91,19,87.37,9,0,0.0927,2,0,1,8,0
4,123,28,90.8,5,0,0.1248,2,0,1,16,0
3,66,35,97.01,3,0,0.0927,2,0,3,18,0
12,344,50,94.25,10,1,0.1705,9,0,2,18,0
13,303,136,87.93,9,1,0.1301,3,0,3,15,0
5,136,45,69.19,8,1,0.1311,3,1,1,5,0
5,98,30,78.69,10,0,0.0938,5,1,3,23,0
14,228,125,76.17,6,3,0.1438,8,0,1,10,1
11,120,107,89.35,3,2,0.1447,3,1,3,12,0
7,126,122,81.14,3,2,0.1857,3,0,3,6,0
10,199,107,99.0,8,1,0.1304,1,0,4,0,0
13,226,128,85.81,4,2,0.1187,3,1,3,1,1
14,278,227,72.73,8,1,0.163,2,0,1,3,0
9,262,125,67.99,7,2,0.1838,2,0,4,1,1
7,88,79,82.15,2,1,0.0697,5,0,4,17,0
7,222,92,86.2,2,1,0.1375,2,1,1,12,0
27,855,306,78.0,6,2,0.2056,2,0,2,19,1
18,360,66,76.27,3,0,0.0552,14,0,4,16,0
5,112,53,83.85,6,2,0.2034,6,0,3,5,0
5,113,78,90.28,10,2,0.1223,2,0,4,22,0
13,252,42,91.55,6,2,0.1106,2,0,4,18,0
4,118,64,80.65,1,0,0.1481,5,0,3,20,0
3,79,34,99.0,1,2,0.1816,3,0,2,16,0
18,411,281,62.63,3,1,0.0415,1,0,2,1,0
5,124,29,89.71,8,1,0.1515,3,0,2,13,0
6,107,87,86.02,8,2,0.1288,9,0,1,22,0
26,337,204,77.43,8,1,0.0601,4,0,3,5,0
13,270,145,94.27,5,1,0.1005,3,0,2,7,0
4,60,68,73.73,5,1,0.1461,2,0,2,22,0
23,359,189,79.29,5,0,0.0563,3,0,4,12,0
8,247,120,70.69,5,1,0.1161,3,1,1,11,0
13,308,184,82.97,4,0,0.0097,2,1,3,17,0
14,158,171,69.46,10,0,0.02,13,0,1,21,0
8,107,51,85.48,2,1,0.0858,2,0,4,3,0
12,135,209,77.5,3,1,0.0917,3,0,4,15,0
10,261,73,99.0,5,0,0.0318,1,0,1,20,0
11,229,152,91.04,1,1,0.1329,11,0,2,13,0
8,97,134,74.72,7,2,0.1017,5,0,2,23,0
4,120,64,76.9,1,1,0.0399,3,0,1,10,0
6,190,66,87.11,8,3,0.1523,2,0,2,16,0
8,101,37,90.81,3,1,0.1517,4,0,3,22,0
20,513,297,76.32,10,1,0.0226,4,0,2,5,0
10,233,90,95.68,7,2,0.1331,5,0,1,12,0
11,136,56,73.54,6,1,0.0899,2,0,1,8,0
4,74,28,86.24,6,1,0.1061,7,0,1,8,0
7,172,27,86.52,2,3,0.1466,6,0,2,12,0
18,542,293,99.0,5,2,0.0938,5,0,3,11,0
9,119,45,85.04,3,2,0.1893,3,0,3,13,0
1,29,14,75.92,4,2,0.1546,2,0,1,16,0
5,124,20,77.89,10,1,0.1394,7,1,2,18,0
2,23,31,94.44,8,3,0.1718,2,1,2,22,0
18,183,191,70.79,1,0,0.0927,3,0,4,14,0
12,256,157,77.25,5,0,0.1419,6,0,4,8,0
2,51,23,83.26,1,0,0.1031,4,0,1,17,0
10,304,40,86.89,8,2,0.1423,5,1,4,5,0
4,105,70,83.5,7,1,0.1113,6,0,4,14,0
9,267,77,81.37,9,0,0.0559,3,1,3,3,0
10,208,109,83.9,4,0,0.0604,5,0,1,9,0
9,227,84,85.17,7,1,0.145,2,0,2,14,0
12,175,204,78.14,2,0,0.0965,10,1,4,19,0
6,175,19,78.51,4,0,0.0,3,1,1,14,0
2,49,7,89.79,1,0,0.1228,9,0,2,17,0
7,201,26,80.31,9,1,0.1082,6,0,2,23,0
4,87,58,84.38,6,0,0.0919,5,0,2,21,0
12,215,85,99.0,9,1,0.1713,3,0,2,20,0
15,320,55,84.3,6,1,0.16,9,0,4,16,0
4,71,20,89.83,7,1,0.0935,1,1,4,7,0
10,152,136,83.43,8,2,0.102,4,0,4,13,0
4,44,26,68.8,4,1,0.0857,2,0,1,14,0
3,30,41,81.17,4,1,0.1087,1,1,4,21,0
6,53,24,74.48,10,2,0.147,3,0,2,15,0
4,119,30,80.06,1,1,0.1097,1,1,2,23,0
8,255,81,92.76,4,2,0.0981,1,0,2,12,0
2,42,29,66.16,7,3,0.1333,3,0,3,9,0
25,507,261,90.97,2,0,0.0425,1,0,4,10,0
4,67,36,78.93,10,2,0.1199,2,0,2,0,0
9,273,105,86.42,7,1,0.1006,3,0,2,10,0
13,281,86,84.33,9,3,0.1035,3,0,3,8,0
7,138,96,79.92,8,0,0.2005,2,0,3,5,0
2,42,11,89.33,9,3,0.2378,2,0,1,16,0
4,113,68,71.05,1,2,0.143,4,0,4,4,0
7,94,95,90.11,1,1,0.1637,1,1,4,11,0
16,372,272,93.27,8,1,0.0552,3,0,1,0,0
6,107,19,89.8,5,0,0.0822,3,0,3,0,0
3,74,28,94.13,3,0,0.0042,2,1,1,16,0
16,201,174,98.16,6,1,0.1038,4,0,4,2,0
4,70,45,86.24,4,1,0.1296,3,0,1,20,0
6,141,20,80.9,7,0,0.0306,3,0,4,1,0
2,49,8,78.45,7,1,0.1008,4,0,3,18,0
9,282,147,91.04,1,2,0.1252,4,0,4,8,0
2,19,33,70.73,9,1,0.183,12,0,1,5,0
12,186,209,87.01,10,1,0.0695,2,1,4,2,0
7,150,80,77.28,7,0,0.0828,4,0,3,12,0
16,181,285,63.75,2,0,0.1733,2,0,3,1,0
1,13,4,79.14,10,4,0.1598,1,0,4,10,1
7,101,125,76.32,8,1,0.117,9,0,4,13,0
6,132,52,84.8,10,1,0.0994,1,0,2,22,0
8,115,69,85.91,3,2,0.0892,2,0,3,11,0
5,40,38,95.74,6,1,0.1525,4,0,1,4,0
7,128,79,84.86,9,4,0.2325,3,0,1,2,1
7,71,83,92.04,6,2,0.1292,2,0,1,9,0
17,453,235,91.48,9,1,0.0613,1,0,2,18,0
5,122,27,90.62,5,0,0.0559,5,0,4,4,0
11,202,102,89.16,8,0,0.116,5,0,3,8,0
18,455,187,89.08,10,2,0.0931,3,1,1,4,1
2,61,15,65.67,10,0,0.0443,3,0,3,14,0
2,55,31,84.13,10,0,0.1455,3,1,3,19,0
7,89,53,82.83,7,0,0.0077,2,0,3,23,0
4,79,46,72.6,4,3,0.1431,1,0,3,12,0
12,364,71,69.61,9,2,0.0915,4,1,1,23,1
8,200,76,92.04,5,1,0.0758,4,0,1,13,0
3,34,22,89.82,5,3,0.103,3,0,4,12,0
4,127,40,90.9,7,1,0.1201,2,0,4,17,0
5,156,67,82.15,9,0,0.0652,3,0,1,3,0
14,332,116,73.33,10,1,0.0444,2,1,4,10,0
5,91,15,90.74,5,3,0.1726,3,0,2,14,0
9,172,118,76.17,9,1,0.169,6,1,1,15,0
16,287,278,94.36,2,4,0.1891,3,0,2,11,1
6,113,36,83.4,8,2,0.065,1,0,1,14,0
5,94,20,69.79,1,1,0.0846,8,0,1,0,0
10,235,131,85.0,3,0,0.0633,11,0,2,16,0
6,71,68,85.65,8,2,0.1469,2,0,4,20,0
4,93,37,93.25,1,1,0.0645,5,0,2,14,0
6,103,81,88.03,4,1,0.1068,2,0,1,18,0
13,376,75,76.87,6,0,0.0114,1,1,1,8,0
7,138,122,55.61,6,1,0.1015,3,0,4,18,0
11,180,108,81.58,3,2,0.1622,5,0,3,19,0
11,265,84,82.2,4,0,0.0693,4,0,2,11,0
16,324,148,74.58,3,1,0.1495,1,0,4,5,0
13,271,218,88.77,3,1,0.0872,3,0,4,9,0
4,62,39,74.03,1,2,0.1309,4,0,1,15,0
3,82,52,75.84,9,0,0.0952,2,0,4,21,0
10,250,96,96.13,3,0,0.1024,6,1,1,7,0
24,350,265,71.85,3,0,0.1087,3,0,4,17,0
6,130,42,63.64,9,2,0.0924,11,0,3,17,0
2,17,27,83.85,9,2,0.1679,2,1,4,3,0
37,876,248,63.06,1,1,0.096,1,0,3,2,1
11,350,160,85.71,4,0,0.0081,4,1,3,22,0
33,603,403,68.37,4,0,0.0873,3,0,1,18,1
11,162,121,76.19,6,6,0.3112,3,0,3,9,1
13,401,139,69.07,2,1,0.1718,4,1,4,1,1
6,172,29,81.99,3,0,0.1078,3,0,3,7,0
12,290,124,69.31,10,0,0.1197,2,0,4,12,0
5,116,81,84.66,2,1,0.1995,3,0,3,22,0
6,101,103,75.52,6,3,0.1258,7,0,1,23,0
22,511,296,76.0,2,3,0.1242,5,0,4,6,1
2,55,20,90.93,6,1,0.1056,2,0,3,17,0
6,129,61,88.86,6,2,0.1547,15,0,1,1,0
4,107,39,91.58,2,2,0.1215,6,0,2,14,0
7,222,65,97.11,3,1,0.0486,4,0,3,5,0
15,435,66,77.79,6,0,0.0805,5,0,3,21,0
19,227,169,78.31,5,1,0.1517,5,0,2,13,0
4,99,12,86.23,8,2,0.1073,3,1,2,16,0
10,82,134,77.13,2,0,0.1111,1,0,4,22,0
4,38,34,71.77,2,1,0.1598,5,1,3,9,0
6,159,85,93.34,3,1,0.1439,5,0,2,2,0
5,41,63,70.65,8,4,0.2583,6,0,2,20,1
8,240,97,73.92,8,1,0.1238,7,0,1,3,0
12,131,167,66.97,6,0,0.1237,5,0,3,4,0
8,187,53,72.44,10,1,0.1537,6,0,3,22,0
14,396,225,81.26,4,3,0.1309,4,0,2,23,1
3,70,44,69.78,4,4,0.1797,5,0,1,7,1
3,66,32,78.13,1,2,0.1273,4,0,3,4,0
14,393,130,71.99,9,3,0.2369,3,0,4,2,1
6,57,41,84.69,1,2,0.1085,2,0,4,16,0
13,326,188,78.08,7,2,0.18,10,0,1,20,0
8,182,57,75.6,5,0,0.0337,1,1,2,4,0
2,34,25,93.13,2,1,0.0809,1,0,4,23,0
3,41,20,94.36,7,0,0.1043,3,1,1,9,0
21,499,118,93.47,1,1,0.1734,2,0,1,5,0
6,97,64,76.72,5,0,0.0955,3,1,2,23,0
8,115,130,74.42,1,0,0.1481,2,0,4,8,0
5,71,88,99.0,2,1,0.0677,2,0,3,1,0
2,43,17,80.72,5,0,0.0893,3,0,1,7,0
4,32,63,83.77,1,0,0.0762,4,0,4,11,0
9,104,152,73.87,1,2,0.1665,1,0,4,7,0
14,251,193,97.38,5,1,0.1508,4,0,3,3,0
12,355,68,85.41,9,0,0.1549,5,0,4,2,0
4,115,58,98.95,5,0,0.0111,4,0,4,0,0
12,179,177,81.38,10,2,0.0911,3,0,3,18,0
10,319,146,83.9,9,1,0.1805,2,0,2,4,1
8,142,51,81.13,6,2,0.1074,4,0,1,10,1
10,237,157,79.66,5,1,0.0697,2,1,2,13,0
4,37,71,73.68,5,0,0.1567,3,1,2,16,0
25,737,246,91.97,2,0,0.1025,4,0,2,20,0
8,78,92,89.43,7,0,0.1438,5,0,2,7,0
9,255,152,99.0,7,0,0.1107,3,0,3,10,0
17,231,291,99.0,3,0,0.1165,3,0,1,4,0
17,319,131,88.41,2,1,0.1424,2,0,2,14,0
2,28,9,61.64,3,2,0.1053,5,0,3,22,0
6,53,93,81.55,6,0,0.0489,3,1,2,11,0
14,128,104,81.83,3,0,0.0578,8,1,4,14,0
3,63,13,90.13,2,0,0.1044,2,0,2,3,0
8,223,141,83.65,3,1,0.0596,1,1,4,11,0
8,244,34,65.4,10,1,0.1522,2,0,1,0,0
5,63,63,92.06,3,2,0.1339,1,1,3,3,0
6,114,33,73.49,10,1,0.1215,3,0,4,15,0
15,365,83,86.83,4,2,0.0804,4,0,3,8,0
4,46,48,87.35,10,1,0.11,9,0,3,15,0
6,127,23,86.25,5,1,0.1098,1,0,4,6,0
3,81,20,88.0,9,0,0.018,2,0,4,22,0
16,337,164,99.0,10,1,0.1892,4,0,4,8,0
4,62,25,87.35,5,1,0.1198,6,1,4,16,0
4,88,25,82.86,3,1,0.0647,2,1,2,8,0
4,107,56,88.51,4,2,0.0092,4,0,4,11,0
7,222,39,74.35,4,2,0.1426,9,0,3,18,1
10,248,172,85.89,10,2,0.1192,8,1,2,15,0
10,122,35,79.02,1,2,0.1857,2,0,2,0,0
7,56,117,82.58,4,0,0.0676,6,0,3,22,0
11,299,176,82.44,1,0,0.0527,4,1,2,3,0
18,515,313,77.08,6,2,0.0815,2,0,4,18,1
3,45,15,67.29,3,0,0.0528,1,0,4,20,0
15,353,84,94.75,9,1,0.1343,1,0,3,7,0
7,192,60,81.93,5,3,0.1756,8,1,1,22,1
13,226,232,89.89,10,2,0.1783,8,1,3,19,1
4,86,68,87.29,3,0,0.0933,4,0,1,7,0
9,141,112,85.11,2,3,0.1085,4,0,3,14,1
28,364,375,79.82,6,0,0.0516,2,0,1,23,1
4,69,55,75.13,3,2,0.0892,8,0,4,12,0
11,187,169,92.31,10,1,0.0559,5,0,2,5,0
9,244,31,87.53,1,1,0.1319,2,0,1,2,0
11,322,59,68.33,2,0,0.127,4,0,1,10,0
13,295,133,89.6,1,0,0.0917,2,0,2,19,0
4,47,18,62.37,4,0,0.065,4,0,4,22,0
5,151,55,82.67,5,1,0.1352,3,0,1,1,0
5,105,51,88.45,1,1,0.1573,2,0,4,2,0
10,238,120,85.16,4,1,0.1006,2,1,2,5,0
19,597,191,76.02,2,1,0.0509,5,0,4,15,0
20,477,87,88.3,9,0,0.0974,6,0,3,12,0
33,617,229,92.24,8,2,0.2096,2,0,3,18,1
3,78,39,76.47,2,3,0.0888,3,0,4,18,0
17,160,149,87.49,9,2,0.2179,2,0,4,18,0
3,58,12,96.82,1,1,0.1933,3,0,2,3,0
16,300,275,95.41,3,0,0.0982,2,0,2,4,0
